,void_init_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_read_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_scale_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_stencil1d3pt_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_stencil1d5pt_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_triad_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_
TCC_HIT_sum,"8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388675.043478262,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912,8388672.652173912","3416.2105263157896,74287.15789473684,3028.1052631578946,69.57894736842105,3445.4736842105262,3039.3684210526317,139464.8947368421,69.57894736842105,69.57894736842105,115944.26315789473,69.57894736842105,69.57894736842105,2480.1052631578946,3398.315789473684,69.57894736842105,69.57894736842105,3473.0526315789475,2958.2105263157896,105716.8947368421,3269.684210526316,2598.842105263158,69.57894736842105,2560.7368421052633,69.57894736842105,69.57894736842105,69.57894736842105,2720.6315789473683,69.57894736842105,69.57894736842105,2775.4736842105262,69.57894736842105,69.57894736842105","8400376.86764706,8714976.44117647,8392652.397058822,8391751.0,8394671.044117648,8392921.911764706,8871576.044117648,8392602.029411765,8397986.014705881,8841475.264705881,8440065.044117648,8399081.44117647,8396779.80882353,8397034.88235294,8392075.11764706,8392356.147058822,8410152.86764706,8393530.955882352,8769536.75,8393765.485294119,8395305.235294119,8397362.661764706,8393366.823529411,8395396.764705881,8392083.220588235,8398912.735294119,8393995.36764706,8390861.720588235,8424703.38235294,8393722.05882353,8459322.69117647,8393959.911764706","10645260.52631579,10533836.842105264,9729845.684210526,9443488.842105264,9829337.157894736,9650482.47368421,10642596.578947369,9504364.94736842,9787141.789473685,10688685.578947369,10611736.05263158,10258191.105263159,10311052.578947369,10176984.684210526,10118285.842105264,10308091.0,11350318.368421054,9576220.210526315,10543444.368421054,9628311.842105264,9907456.368421054,9930250.736842105,10140110.210526315,9712940.578947369,9660603.842105264,9619718.894736841,9872062.736842105,9503594.47368421,16797725.789473683,9788869.578947369,12626881.105263159,9505666.94736842","10457365.894736841,9976500.0,9526939.842105264,9637688.105263159,9665025.94736842,9413193.789473685,9950309.157894736,9342406.105263159,9576108.578947369,10002229.789473685,10642436.157894736,10108672.94736842,9722986.842105264,9910319.315789474,9549790.736842105,9699933.263157895,11401822.421052631,9736697.47368421,9964291.52631579,9605981.105263159,9616053.789473685,9709681.736842105,9597856.315789474,9704406.684210526,9501464.578947369,9698389.0,9738580.368421054,9495724.315789474,16793938.63157895,9713798.421052631,12619102.368421054,9479639.789473685","8397419.789473685,10696027.157894736,9562376.368421054,8390496.263157895,8396471.315789474,9165664.263157895,11305440.368421054,9196291.789473685,9523844.157894736,11115179.421052631,8400858.105263159,8390856.736842105,10164134.315789474,8396852.47368421,9822917.315789474,10398450.894736841,8400016.789473685,8395766.578947369,11031750.578947369,8396008.421052631,9570560.105263159,8390558.684210526,9741730.105263159,9552319.368421054,8390514.05263158,9503173.157894736,9701603.157894736,9567373.05263158,8406464.578947369,9672156.0,8433933.157894736,8391369.368421054"
TCC_MISS_sum,"8388683.391304348,8388658.652173912,8388657.130434783,8388664.956521738,8388681.56521739,8388657.826086957,8388659.913043479,8388661.130434783,8388658.956521738,8388657.652173912,8388682.695652174,8388682.217391305,8388657.47826087,8388682.826086957,8388658.086956521,8388657.52173913,8388684.47826087,8388676.826086957,8388659.130434783,8388678.652173912,8388658.260869564,8388682.652173912,8388657.782608695,8388660.47826087,8388680.608695652,8388657.52173913,8388656.782608695,8388657.913043479,8388681.47826087,8388657.391304348,8388681.391304348,8388677.347826088","8388681.52631579,8388684.894736841,8388684.05263158,8388682.842105264,8388682.736842105,8388683.210526315,8388685.157894736,8388683.52631579,8388685.210526315,8388685.263157895,8388672.789473685,8388678.789473685,8388684.94736842,8388681.631578946,8388684.52631579,8388684.263157895,8388679.315789474,8388683.05263158,8388685.157894736,8388681.789473685,8388686.05263158,8388677.47368421,8388685.368421054,8388684.05263158,8388681.631578946,8388684.684210526,8388684.684210526,8388685.05263158,8388678.368421054,8388684.94736842,8388676.210526315,8388682.421052631","16777356.5,16777341.92647059,16777354.11764706,16777353.0,16777354.352941178,16777353.220588237,16777332.838235296,16777350.88235294,16777345.92647059,16777343.088235296,16777345.970588237,16777351.161764704,16777343.67647059,16777352.44117647,16777347.647058822,16777345.970588237,16777356.147058822,16777353.411764704,16777347.17647059,16777353.01470588,16777348.102941178,16777349.51470588,16777349.705882356,16777345.470588237,16777352.794117644,16777349.82352941,16777352.029411763,16777354.82352941,16777355.470588237,16777353.588235296,16777348.63235294,16777349.38235294","16777357.210526317,16777347.89473684,16777356.89473684,16777356.210526317,16777358.89473684,16777356.94736842,16777348.89473684,16777357.47368421,16777350.684210528,16777353.0,16777353.842105262,16777355.315789472,16777342.263157893,16777358.42105263,16777352.05263158,16777350.157894738,16777358.94736842,16777356.736842107,16777355.157894738,16777357.736842107,16777348.47368421,16777357.05263158,16777348.94736842,16777352.05263158,16777357.89473684,16777352.42105263,16777355.0,16777357.315789472,16777358.789473683,16777356.52631579,16777354.63157895,16777354.57894737","16777360.0,16777344.52631579,16777358.157894738,16777355.94736842,16777359.210526317,16777357.89473684,16777355.210526317,16777356.94736842,16777351.47368421,16777349.47368421,16777353.210526317,16777358.263157893,16777340.63157895,16777359.63157895,16777349.10526316,16777349.89473684,16777358.42105263,16777358.736842107,16777353.210526317,16777358.157894738,16777351.47368421,16777356.0,16777348.736842107,16777352.789473683,16777356.36842105,16777355.10526316,16777355.157894738,16777357.36842105,16777368.89473684,16777357.0,16777354.10526316,16777356.315789472","25166035.47368421,25165995.789473683,25166017.10526316,25166017.842105262,25166034.263157893,25166020.63157895,25165987.789473683,25166011.42105263,25166001.94736842,25165998.736842107,25166029.42105263,25166031.842105262,25165993.736842107,25166035.10526316,25166009.263157893,25166008.52631579,25166039.42105263,25166028.57894737,25166006.57894737,25166028.57894737,25165999.94736842,25166031.52631579,25166008.05263158,25166008.57894737,25166031.157894738,25166004.63157895,25166015.263157893,25166014.315789472,25166034.42105263,25166013.736842107,25166030.736842107,25166028.684210528"
wave_size_4,"64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0"
SQ_INSTS_VALU_INT32,"9774559.826086957,8627590.956521738,8796248.173913043,8388625.47826087,9158584.782608695,8850606.347826088,8388642.0,8388628.782608695,8388622.173913043,8612177.826086957,8388618.869565217,8388617.217391305,8645280.782608695,9378580.0,8388628.782608695,8388625.47826087,10698523.217391305,8921672.956521738,8388637.043478262,9018596.086956521,8689925.826086957,8388622.173913043,8665822.260869564,8388630.43478261,8388620.52173913,8388628.782608695,8718605.913043479,8388617.217391305,15318336.869565217,8753339.56521739,8388617.217391305,8388622.173913043","10066332.0,8677896.0,8882060.0,8388622.0,9320678.0,8947862.0,8388642.0,8388626.0,8388618.0,8659238.0,8388614.0,8388612.0,8699310.0,9586988.0,8388626.0,8388622.0,11184814.0,9033890.0,8388636.0,9151218.0,8753354.0,8388618.0,8724176.0,8388628.0,8388616.0,8388626.0,8788072.0,8388612.0,16777220.0,8830118.0,8388612.0,8388618.0","15099498.0,13016832.0,13323088.0,12582928.0,13981016.0,13421788.0,12582948.0,12582932.0,12582924.0,12988844.0,12582920.0,12582918.0,13048960.0,14380480.0,12582932.0,12582928.0,16777220.0,13550834.0,12582942.0,13726824.0,13130020.0,12582924.0,13086254.0,12582934.0,12582922.0,12582932.0,13182106.0,12582918.0,25165830.0,13245176.0,12582918.0,12582924.0","17616081.0,15186312.0,15543604.0,14680086.0,16311186.0,15658756.0,14680116.0,14680092.0,14680080.0,15153660.0,14680074.0,14680071.0,15223790.0,16777228.0,14680092.0,14680086.0,19573424.0,15809307.0,14680107.0,16014630.0,15318364.0,14680080.0,15267303.0,14680095.0,14680077.0,14680092.0,15379125.0,14680071.0,29360135.0,15452706.0,14680071.0,14680080.0","37748733.0,32542056.0,33307716.0,31457298.0,34952538.0,33554448.0,31457328.0,31457304.0,31457292.0,32472072.0,31457286.0,31457283.0,32622378.0,35951184.0,31457304.0,31457298.0,41943048.0,33877071.0,31457319.0,34317042.0,32825028.0,31457292.0,32715603.0,31457307.0,31457289.0,31457304.0,32955249.0,31457283.0,62914563.0,33112926.0,31457283.0,31457292.0","20132664.0,17355768.0,17764116.0,16777234.0,18641354.0,17895714.0,16777254.0,16777238.0,16777230.0,17318450.0,16777226.0,16777224.0,17398610.0,19173972.0,16777238.0,16777234.0,22369626.0,18067778.0,16777248.0,18302430.0,17506686.0,16777230.0,17448332.0,16777240.0,16777228.0,16777238.0,17576140.0,16777224.0,33554440.0,17660234.0,16777224.0,16777230.0"
SQ_INSTS_VALU_INT64,"2443641.2608695654,2156904.0,2199064.1739130435,2097159.7391304346,2289647.913043478,2212654.9565217393,2097168.0,2097161.3913043477,2097158.086956522,2153051.1304347827,2097156.434782609,2097155.6086956523,2161323.565217391,2344647.1304347827,2097161.3913043477,2097159.7391304346,2674632.5217391304,2230419.9565217393,2097165.5217391304,2254651.565217391,2172487.304347826,2097158.086956522,2166461.0,2097162.217391304,2097157.2608695654,2097161.3913043477,2179653.6086956523,2097155.6086956523,3829585.5217391304,2188336.6086956523,2097155.6086956523,2097158.086956522","2516583.0,2169480.0,2220516.0,2097158.0,2330170.0,2236968.0,2097168.0,2097160.0,2097156.0,2164816.0,2097154.0,2097153.0,2174830.0,2396748.0,2097160.0,2097158.0,2796204.0,2258473.0,2097165.0,2287806.0,2188344.0,2097156.0,2181049.0,2097161.0,2097155.0,2097160.0,2197019.0,2097153.0,4194305.0,2207530.0,2097153.0,2097156.0","2516583.0,2169480.0,2220516.0,2097158.0,2330170.0,2236968.0,2097168.0,2097160.0,2097156.0,2164816.0,2097154.0,2097153.0,2174830.0,2396748.0,2097160.0,2097158.0,2796204.0,2258473.0,2097165.0,2287806.0,2188344.0,2097156.0,2181049.0,2097161.0,2097155.0,2097160.0,2197019.0,2097153.0,4194305.0,2207530.0,2097153.0,2097156.0","2516583.0,2169480.0,2220516.0,2097158.0,2330170.0,2236968.0,2097168.0,2097160.0,2097156.0,2164816.0,2097154.0,2097153.0,2174830.0,2396748.0,2097160.0,2097158.0,2796204.0,2258473.0,2097165.0,2287806.0,2188344.0,2097156.0,2181049.0,2097161.0,2097155.0,2097160.0,2197019.0,2097153.0,4194305.0,2207530.0,2097153.0,2097156.0","2516583.0,2169480.0,2220516.0,2097158.0,2330170.0,2236968.0,2097168.0,2097160.0,2097156.0,2164816.0,2097154.0,2097153.0,2174830.0,2396748.0,2097160.0,2097158.0,2796204.0,2258473.0,2097165.0,2287806.0,2188344.0,2097156.0,2181049.0,2097161.0,2097155.0,2097160.0,2197019.0,2097153.0,4194305.0,2207530.0,2097153.0,2097156.0","2516583.0,2169480.0,2220516.0,2097158.0,2330170.0,2236968.0,2097168.0,2097160.0,2097156.0,2164816.0,2097154.0,2097153.0,2174830.0,2396748.0,2097160.0,2097158.0,2796204.0,2258473.0,2097165.0,2287806.0,2188344.0,2097156.0,2181049.0,2097161.0,2097155.0,2097160.0,2197019.0,2097153.0,4194305.0,2207530.0,2097153.0,2097156.0"
SQ_INSTS_SMEM,"9774559.826086957,8627590.956521738,8796248.173913043,8388625.47826087,9158584.782608695,8850606.347826088,8388642.0,8388628.782608695,8388622.173913043,8612177.826086957,8388618.869565217,8388617.217391305,8645280.782608695,9378580.0,8388628.782608695,8388625.47826087,10698523.217391305,8921672.956521738,8388637.043478262,9018596.086956521,8689925.826086957,8388622.173913043,8665822.260869564,8388630.43478261,8388620.52173913,8388628.782608695,8718605.913043479,8388617.217391305,15318336.869565217,8753339.56521739,8388617.217391305,8388622.173913043","10066332.0,8677896.0,8882060.0,8388622.0,9320678.0,8947862.0,8388642.0,8388626.0,8388618.0,8659238.0,8388614.0,8388612.0,8699310.0,9586988.0,8388626.0,8388622.0,11184814.0,9033890.0,8388636.0,9151218.0,8753354.0,8388618.0,8724176.0,8388628.0,8388616.0,8388626.0,8788072.0,8388612.0,16777220.0,8830118.0,8388612.0,8388618.0","12582915.0,10847364.0,11102574.0,10485775.0,11650847.0,11184825.0,10485795.0,10485779.0,10485771.0,10824041.0,10485767.0,10485765.0,10874135.0,11983734.0,10485779.0,10485775.0,13981017.0,11292362.0,10485789.0,11439021.0,10941687.0,10485771.0,10905215.0,10485781.0,10485769.0,10485779.0,10985089.0,10485765.0,20971525.0,11037647.0,10485765.0,10485771.0","12582915.0,10847364.0,11102574.0,10485775.0,11650847.0,11184825.0,10485795.0,10485779.0,10485771.0,10824041.0,10485767.0,10485765.0,10874135.0,11983734.0,10485779.0,10485775.0,13981017.0,11292362.0,10485789.0,11439021.0,10941687.0,10485771.0,10905215.0,10485781.0,10485769.0,10485779.0,10985089.0,10485765.0,20971525.0,11037647.0,10485765.0,10485771.0","12582912.0,10847364.0,11102574.0,10485772.0,11650847.0,11184822.0,10485792.0,10485776.0,10485768.0,10824038.0,10485764.0,10485762.0,10874132.0,11983731.0,10485776.0,10485772.0,13981017.0,11292359.0,10485786.0,11439018.0,10941687.0,10485768.0,10905212.0,10485778.0,10485766.0,10485776.0,10985086.0,10485762.0,20971522.0,11037644.0,10485762.0,10485768.0","12582915.0,10847364.0,11102574.0,10485775.0,11650847.0,11184825.0,10485795.0,10485779.0,10485771.0,10824041.0,10485767.0,10485765.0,10874135.0,11983734.0,10485779.0,10485775.0,13981017.0,11292362.0,10485789.0,11439021.0,10941687.0,10485771.0,10905215.0,10485781.0,10485769.0,10485779.0,10985089.0,10485765.0,20971525.0,11037647.0,10485765.0,10485771.0"
SQ_INSTS_FLAT,"2443638.652173913,2156891.4782608696,2199059.913043478,2097153.0,2289644.4782608696,2212648.217391304,2097153.0,2097153.0,2097153.0,2153037.782608696,2097153.0,2097153.0,2161316.8260869565,2344642.8695652173,2097153.0,2097153.0,2674629.086956522,2230416.5217391304,2097153.0,2254646.4782608696,2172475.6086956523,2097153.0,2166450.1304347827,2097153.0,2097153.0,2097153.0,2179649.347826087,2097153.0,3829582.913043478,2188333.1739130435,2097153.0,2097153.0","2516583.0,2169468.0,2220514.0,2097153.0,2330169.0,2236963.0,2097153.0,2097153.0,2097153.0,2164803.0,2097153.0,2097153.0,2174825.0,2396746.0,2097153.0,2097153.0,2796203.0,2258472.0,2097153.0,2287803.0,2188333.0,2097153.0,2181039.0,2097153.0,2097153.0,2097153.0,2197017.0,2097153.0,4194305.0,2207529.0,2097153.0,2097153.0","5033166.0,4338936.0,4441028.0,4194306.0,4660338.0,4473926.0,4194306.0,4194306.0,4194306.0,4329606.0,4194306.0,4194306.0,4349650.0,4793492.0,4194306.0,4194306.0,5592406.0,4516944.0,4194306.0,4575606.0,4376666.0,4194306.0,4362078.0,4194306.0,4194306.0,4194306.0,4394034.0,4194306.0,8388610.0,4415058.0,4194306.0,4194306.0","7549749.0,6508404.0,6661542.0,6291459.0,6990507.0,6710889.0,6291459.0,6291459.0,6291459.0,6494409.0,6291459.0,6291459.0,6524475.0,7190238.0,6291459.0,6291459.0,8388609.0,6775416.0,6291459.0,6863409.0,6564999.0,6291459.0,6543117.0,6291459.0,6291459.0,6291459.0,6591051.0,6291459.0,12582915.0,6622587.0,6291459.0,6291459.0","12582910.0,10847340.0,11102570.0,10485760.0,11650845.0,11184810.0,10485760.0,10485760.0,10485760.0,10824010.0,10485760.0,10485760.0,10874120.0,11983725.0,10485760.0,10485760.0,13981015.0,11292355.0,10485760.0,11439010.0,10941665.0,10485760.0,10905190.0,10485760.0,10485760.0,10485760.0,10985080.0,10485760.0,20971520.0,11037640.0,10485760.0,10485760.0","7549749.0,6508404.0,6661542.0,6291459.0,6990507.0,6710889.0,6291459.0,6291459.0,6291459.0,6494409.0,6291459.0,6291459.0,6524475.0,7190238.0,6291459.0,6291459.0,8388609.0,6775416.0,6291459.0,6863409.0,6564999.0,6291459.0,6543117.0,6291459.0,6291459.0,6291459.0,6591051.0,6291459.0,12582915.0,6622587.0,6291459.0,6291459.0"
TCP_TOTAL_CACHE_ACCESSES_sum,"33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0","33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0,33554433.0","67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0,67108866.0","134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0,134217731.0","218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0,218103806.0","100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0,100663299.0"
SPI_RA_RES_STALL_CSN,"1518073.9130434783,99706.91304347826,121010.95652173914,252035.1739130435,633869.1739130435,160268.4347826087,112863.60869565218,191065.26086956522,125070.60869565218,96135.82608695653,2196618.217391304,1330660.7826086956,98579.21739130435,989295.1739130435,122708.73913043478,116128.52173913043,2785344.086956522,237747.26086956522,117957.56521739131,386956.8695652174,105871.78260869565,913340.5652173914,102016.34782608696,130621.39130434782,584466.1739130435,128526.04347826086,107061.82608695653,137405.86956521738,8110023.173913044,111060.52173913043,4645271.130434782,409263.347826087","2944294.789473684,167472.1052631579,437099.4736842105,684491.0,1335433.3684210526,537058.4210526316,182238.63157894736,628489.4210526316,240257.52631578947,150779.57894736843,3816070.0,2463898.3684210526,181624.05263157896,1894935.0,203419.1052631579,206491.7894736842,5341576.631578947,721914.947368421,159317.57894736843,946974.8947368421,211991.36842105264,1925764.894736842,198166.8947368421,264415.15789473685,1231399.6842105263,301587.1052631579,225637.73684210525,375275.05263157893,15460909.631578946,289922.4736842105,7931368.947368421,950571.1578947369","4293727.05882353,1182062.1470588236,1530442.3970588236,1736813.7058823528,2585551.75,1645149.2352941176,986346.4411764706,1687598.6764705882,1276816.5441176472,1086960.4558823528,4725413.352941176,3616889.2647058824,1256951.6911764706,3276596.382352941,1310761.2794117648,1285619.7647058824,6424761.014705882,1748582.1470588236,1130681.2647058824,2138322.073529412,1298194.0588235294,3073490.3088235296,1221304.7352941176,1273280.1323529412,2398753.5588235296,1347879.0441176472,1249008.6911764706,1453066.5588235294,17639140.955882356,1326087.2941176472,8755745.720588235,1917984.6764705882","4761368.0,1517038.4736842106,1678324.8421052631,1967242.5263157894,2869984.0,1855870.2105263157,1111702.0,1908084.7894736843,1482175.1578947369,1337878.3157894737,4979868.52631579,4038512.4736842103,1444989.5789473683,3644558.1578947366,1413197.1578947369,1374273.894736842,7111960.578947368,2006910.2105263157,1368779.7894736843,2377553.8947368423,1478156.9473684211,3242517.1052631577,1402244.105263158,1495919.2105263157,2654479.5263157897,1511707.2631578948,1469260.894736842,1559736.4210526317,22219177.736842107,1523866.6842105263,9677145.94736842,2123450.5263157897","5618312.736842105,1816155.7368421052,2408903.0,2631431.210526316,3408346.210526316,2673595.6842105263,1103361.1578947369,2534337.5263157897,2094883.2631578948,1588407.5789473683,5533140.631578947,4714788.7894736845,1999629.2105263157,4397853.52631579,2062875.5263157894,1897349.2105263157,8021006.315789473,2780190.4210526315,1687921.2105263157,2981650.5263157897,2127447.210526316,3870787.736842105,2103038.947368421,2154808.947368421,3145457.263157895,2233266.052631579,2242197.4210526315,2329577.5789473685,23709199.263157893,2350953.6315789474,10672641.315789474,2675361.4736842103","5408219.052631579,2587540.3684210526,2584976.5263157897,2927440.789473684,3295426.4210526315,2676588.4210526315,1685312.105263158,2904369.947368421,2564646.6315789474,2454737.5263157897,5474072.052631579,4634794.631578947,2615238.3684210526,4151952.0,2545270.5789473685,2509774.052631579,8043804.052631579,2867070.947368421,2419123.736842105,2913296.4210526315,2512847.8421052634,3557260.8421052634,2529473.5789473685,2521416.736842105,3049894.4210526315,2358368.8421052634,2471604.947368421,2448537.5789473685,20325249.63157895,2481013.052631579,9801538.94736842,2712862.3684210526"
CPC_CPC_UTCL2IU_BUSY,"2146.391304347826,2193.608695652174,2185.217391304348,2335.304347826087,2175.521739130435,2222.1739130434785,2155.5652173913045,2225.5652173913045,2154.391304347826,2104.1739130434785,2200.5652173913045,2213.0434782608695,2103.4347826086955,2177.391304347826,2328.608695652174,2239.6521739130435,2211.5652173913045,2215.695652173913,2238.782608695652,2213.0,2187.782608695652,2117.0,2176.2608695652175,2087.4347826086955,2194.478260869565,2078.1304347826085,2160.1304347826085,2179.782608695652,2080.782608695652,2154.478260869565,2148.6521739130435,2251.304347826087","2349.684210526316,2365.2631578947367,2385.3684210526317,2522.4736842105262,2378.157894736842,2377.5789473684213,2354.7894736842104,2311.157894736842,2385.4210526315787,2293.157894736842,2452.684210526316,2418.7368421052633,2335.2631578947367,2485.3684210526317,2389.8947368421054,2372.2105263157896,2406.7368421052633,2351.1052631578946,2418.8947368421054,2386.842105263158,2425.4736842105262,2313.8947368421054,2373.3684210526317,2325.5263157894738,2405.3684210526317,2278.4210526315787,2379.0526315789475,2416.842105263158,2360.5789473684213,2335.5263157894738,2375.2105263157896,2367.8947368421054","2272.029411764706,2305.3529411764703,2366.0588235294117,2679.6911764705883,2461.426470588235,2513.0441176470586,2295.264705882353,2271.8382352941176,2584.764705882353,2253.279411764706,2391.7058823529414,2347.6911764705883,2456.6470588235297,2321.25,2291.014705882353,2367.0,2406.6176470588234,2358.4558823529414,2402.0441176470586,2349.779411764706,2363.529411764706,2386.6323529411766,2317.3970588235297,2241.3970588235297,2309.0,2285.7058823529414,2324.4558823529414,2371.3970588235297,2283.3382352941176,2342.4117647058824,2345.2058823529414,2291.8970588235297","2322.4736842105262,2513.842105263158,2406.7894736842104,2545.0,2346.8947368421054,2519.5263157894738,2412.8947368421054,2280.2631578947367,2403.0526315789475,2321.4736842105262,2387.4210526315787,2438.2105263157896,2305.157894736842,2409.1052631578946,2411.4736842105262,2457.4210526315787,2481.842105263158,2329.315789473684,2427.6315789473683,2339.4210526315787,2502.157894736842,2340.0,2359.315789473684,2333.4210526315787,2413.2631578947367,2337.0,2331.2631578947367,2346.315789473684,2348.157894736842,2332.3684210526317,2375.3684210526317,2415.4210526315787","2419.7368421052633,2457.842105263158,2377.4736842105262,2540.2631578947367,2424.4736842105262,2503.7368421052633,2406.0526315789475,2348.8947368421054,2525.5789473684213,2276.5263157894738,2386.1052631578946,2426.8947368421054,2333.7368421052633,2440.9473684210525,2470.315789473684,2442.7894736842104,2332.842105263158,2388.9473684210525,2465.8947368421054,2329.5789473684213,2464.0526315789475,2362.1052631578946,2530.0526315789475,2290.684210526316,2356.4210526315787,2244.8947368421054,2398.5263157894738,2354.842105263158,2833.5789473684213,2313.2631578947367,2328.9473684210525,2332.157894736842","2332.1052631578946,2444.9473684210525,2383.7894736842104,2669.8947368421054,2420.157894736842,2447.2631578947367,2391.1052631578946,2352.3684210526317,2410.0,2314.7894736842104,2414.5263157894738,2399.0526315789475,2374.8947368421054,2391.2105263157896,2551.6315789473683,2514.4736842105262,2402.3684210526317,2409.4736842105262,2422.157894736842,2322.2105263157896,2330.684210526316,2356.7368421052633,2516.4736842105262,2412.2631578947367,2421.842105263158,2324.5789473684213,2327.5263157894738,2448.2631578947367,2341.684210526316,2354.7368421052633,2314.315789473684,2329.4210526315787"
