Unnamed: 0,void_init_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_read_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_scale_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_stencil1d3pt_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_stencil1d5pt_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_triad_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_
SQC_DCACHE_MISSES,"56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0","56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0","56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0","56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0","56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0","56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0"
SQC_DCACHE_MISSES_DUPLICATE,"1276.8695652173913,1680.0,1680.0,1660.1739130434783,1607.304347826087,1680.0,1680.0,1680.0,1680.0,1680.0,933.2173913043479,1276.8695652173913,1680.0,1580.8695652173913,1680.0,1680.0,933.2173913043479,1660.1739130434783,1680.0,1633.7391304347825,1680.0,1580.8695652173913,1680.0,1680.0,1607.304347826087,1680.0,1680.0,1680.0,589.5652173913044,1680.0,589.5652173913044,1633.7391304347825","1192.0,1680.0,1680.0,1656.0,1592.0,1680.0,1680.0,1680.0,1680.0,1680.0,776.0,1192.0,1680.0,1560.0,1680.0,1680.0,776.0,1656.0,1680.0,1624.0,1680.0,1560.0,1680.0,1680.0,1592.0,1680.0,1680.0,1680.0,360.0,1680.0,360.0,1624.0","1192.0,1680.0,1680.0,1656.0,1592.0,1680.0,1680.0,1680.0,1680.0,1680.0,776.0,1192.0,1680.0,1560.0,1680.0,1680.0,776.0,1656.0,1680.0,1624.0,1680.0,1560.0,1680.0,1680.0,1592.0,1680.0,1680.0,1680.0,360.0,1680.0,360.0,1624.0","1192.0,1680.0,1680.0,1656.0,1592.0,1680.0,1680.0,1680.0,1680.0,1680.0,776.0,1192.0,1680.0,1560.0,1680.0,1680.0,776.0,1656.0,1680.0,1624.0,1680.0,1560.0,1680.0,1680.0,1592.0,1680.0,1680.0,1680.0,360.0,1680.0,360.0,1624.0","1192.0,1680.0,1680.0,1656.0,1592.0,1680.0,1680.0,1680.0,1680.0,1680.0,776.0,1192.0,1680.0,1560.0,1680.0,1680.0,776.0,1656.0,1680.0,1624.0,1680.0,1560.0,1680.0,1680.0,1592.0,1680.0,1680.0,1680.0,360.0,1680.0,360.0,1624.0","1192.0,1680.0,1680.0,1656.0,1592.0,1680.0,1680.0,1680.0,1680.0,1680.0,776.0,1192.0,1680.0,1560.0,1680.0,1680.0,776.0,1656.0,1680.0,1624.0,1680.0,1560.0,1680.0,1680.0,1592.0,1680.0,1680.0,1680.0,360.0,1680.0,360.0,1624.0"
wave_size_13,"64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0"
SQC_TC_REQ,"65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261,65.73913043478261","70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316,70.73684210526316","62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645,62.588235294117645","67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052","73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158","67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,70.73684210526316,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052,67.78947368421052"
SQC_ICACHE_REQ,"17105478.391304348,15098277.913043479,15393432.173913043,14680091.217391305,16027521.652173912,15488557.739130436,14680116.0,14680096.173913043,14680086.260869564,15071304.52173913,14680081.304347826,14680078.826086957,15129238.0,16412512.869565217,14680096.173913043,14680091.217391305,18722413.913043477,15612925.956521738,14680108.56521739,15782540.608695652,15207364.347826088,14680086.260869564,15165183.52173913,14680098.652173912,14680083.782608695,14680096.173913043,15257558.217391305,14680078.826086957,26807088.217391305,15318342.52173913,14680078.826086957,14680086.260869564","17616081.0,15186312.0,15543604.0,14680086.0,16311186.0,15658756.0,14680116.0,14680092.0,14680080.0,15153660.0,14680074.0,14680071.0,15223790.0,16777228.0,14680092.0,14680086.0,19573424.0,15809307.0,14680107.0,16014630.0,15318364.0,14680080.0,15267303.0,14680095.0,14680077.0,14680092.0,15379125.0,14680071.0,29360135.0,15452706.0,14680071.0,14680080.0","20132664.0,17355780.0,17764118.0,16777239.0,18641355.0,17895719.0,16777269.0,16777245.0,16777233.0,17318463.0,16777227.0,16777224.0,17398615.0,19173974.0,16777245.0,16777239.0,22369627.0,18067779.0,16777260.0,18302433.0,17506697.0,16777233.0,17448342.0,16777248.0,16777230.0,16777245.0,17576142.0,16777224.0,33554440.0,17660235.0,16777224.0,16777233.0","22649247.0,19525260.0,19984634.0,18874397.0,20971525.0,20132687.0,18874437.0,18874405.0,18874389.0,19483279.0,18874381.0,18874377.0,19573445.0,21570722.0,18874405.0,18874397.0,25165831.0,20326252.0,18874425.0,20590239.0,19695041.0,18874389.0,19629391.0,18874409.0,18874385.0,18874405.0,19773161.0,18874377.0,37748745.0,19867765.0,18874377.0,18874389.0","30198988.0,26033664.0,26646176.0,25165848.0,27962032.0,26843568.0,25165888.0,25165856.0,25165840.0,25977680.0,25165832.0,25165828.0,26097912.0,28760952.0,25165856.0,25165848.0,33554440.0,27101660.0,25165876.0,27453640.0,26260040.0,25165840.0,26172500.0,25165860.0,25165836.0,25165856.0,26364204.0,25165828.0,50331652.0,26490344.0,25165828.0,25165840.0","20132664.0,17355780.0,17764118.0,16777239.0,18641355.0,17895719.0,16777269.0,16777245.0,16777233.0,17318463.0,16777227.0,16777224.0,17398615.0,19173974.0,16777245.0,16777239.0,22369627.0,18067779.0,16777260.0,18302433.0,17506697.0,16777233.0,17448342.0,16777248.0,16777230.0,16777245.0,17576142.0,16777224.0,33554440.0,17660235.0,16777224.0,16777233.0"
SQC_ICACHE_HITS,"17105259.47826087,15098060.260869564,15393215.52173913,14679870.913043479,16027304.739130436,15488338.695652174,14679894.913043479,14679882.652173912,14679870.260869564,15071087.304347826,14679867.0,14679864.52173913,15129029.56521739,16412304.391304348,14679879.782608695,14679878.391304348,18722200.652173914,15612719.56521739,14679896.869565217,15782323.56521739,15207148.956521738,14679868.695652174,15164966.608695652,14679889.43478261,14679870.695652174,14679874.608695652,15257343.869565217,14679868.260869564,26806866.43478261,15318130.260869564,14679868.0,14679877.130434783","17616015.315789472,15186002.157894736,15543407.05263158,14679932.736842105,16311076.52631579,15658580.842105264,14679841.157894736,14679916.842105264,14679848.736842105,15153428.736842105,14680030.210526315,14680005.315789474,15223491.789473685,16777140.421052631,14679811.842105264,14679841.894736841,19573380.210526317,15809153.736842105,14679795.578947369,16014498.631578946,15318133.736842105,14679992.421052631,15267074.842105264,14679854.157894736,14679967.52631579,14679873.05263158,15378904.0,14679873.94736842,29360113.10526316,15452487.05263158,14680049.105263159,14679948.631578946","20132627.294117644,17355651.76470588,17764010.26470588,16777153.352941178,18641293.82352941,17895621.352941178,16777140.05882353,16777150.176470589,16777113.705882352,17318335.55882353,16777202.529411765,16777187.294117648,17398479.05882353,19173925.05882353,16777120.352941178,16777101.176470589,22369602.529411763,18067693.352941178,16777126.764705881,18302359.588235296,17506577.705882356,16777184.05882353,17448213.205882356,16777128.61764706,16777168.823529411,16777126.38235294,17576028.82352941,16777123.05882353,33554427.76470588,17660127.94117647,16777211.764705881,16777159.588235294","22649181.315789472,19525087.736842107,19984485.842105262,18874276.57894737,20971424.05263158,20132547.47368421,18874261.789473683,18874269.94736842,18874216.10526316,19483108.684210528,18874337.210526317,18874311.315789472,19573261.157894738,21570634.42105263,18874227.05263158,18874214.05263158,25165787.210526317,20326131.57894737,18874248.684210528,20590129.52631579,19694867.315789472,18874301.42105263,19629148.94736842,18874241.210526317,18874281.63157895,18874251.736842107,19772997.157894738,18874234.684210528,37748723.10526316,19867611.789473683,18874355.10526316,18874277.47368421","30198905.210526317,26033340.52631579,26645940.57894737,25165675.0,27961937.315789472,26843359.57894737,25165577.842105262,25165664.94736842,25165555.42105263,25977368.94736842,25165759.157894738,25165746.684210528,26097600.842105262,28760867.47368421,25165558.684210528,25165535.842105262,33554379.63157895,27101490.315789472,25165553.210526317,27453492.789473683,26259762.0,25165740.10526316,26172177.89473684,25165602.57894737,25165710.210526317,25165621.736842107,26363946.210526317,25165615.263157893,50331619.10526316,26490110.05263158,25165795.157894738,25165692.210526317","20132598.315789472,17355588.57894737,17763968.210526317,16777160.105263159,18641252.47368421,17895579.63157895,16777082.105263159,16777108.210526315,16777057.736842105,17318275.94736842,16777183.210526315,16777158.315789474,17398418.210526317,19173886.42105263,16777060.105263159,16777041.52631579,22369583.210526317,18067658.57894737,16777066.578947369,18302322.52631579,17506521.94736842,16777145.421052631,17448155.315789472,16777079.894736841,16777124.684210526,16777091.47368421,17575976.94736842,16777081.631578946,33554418.10526316,17659975.684210528,16777202.105263159,16777119.47368421"
SQC_ICACHE_MISSES,"2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523","2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
wave_size_14,"64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0"
SQ_INSTS_VMEM,"2443638.652173913,2156891.4782608696,2199059.913043478,2097153.0,2289644.4782608696,2212648.217391304,2097153.0,2097153.0,2097153.0,2153037.782608696,2097153.0,2097153.0,2161316.8260869565,2344642.8695652173,2097153.0,2097153.0,2674629.086956522,2230416.5217391304,2097153.0,2254646.4782608696,2172475.6086956523,2097153.0,2166450.1304347827,2097153.0,2097153.0,2097153.0,2179649.347826087,2097153.0,3829582.913043478,2188333.1739130435,2097153.0,2097153.0","2516583.0,2169468.0,2220514.0,2097153.0,2330169.0,2236963.0,2097153.0,2097153.0,2097153.0,2164803.0,2097153.0,2097153.0,2174825.0,2396746.0,2097153.0,2097153.0,2796203.0,2258472.0,2097153.0,2287803.0,2188333.0,2097153.0,2181039.0,2097153.0,2097153.0,2097153.0,2197017.0,2097153.0,4194305.0,2207529.0,2097153.0,2097153.0","5033166.0,4338936.0,4441028.0,4194306.0,4660338.0,4473926.0,4194306.0,4194306.0,4194306.0,4329606.0,4194306.0,4194306.0,4349650.0,4793492.0,4194306.0,4194306.0,5592406.0,4516944.0,4194306.0,4575606.0,4376666.0,4194306.0,4362078.0,4194306.0,4194306.0,4194306.0,4394034.0,4194306.0,8388610.0,4415058.0,4194306.0,4194306.0","7549749.0,6508404.0,6661542.0,6291459.0,6990507.0,6710889.0,6291459.0,6291459.0,6291459.0,6494409.0,6291459.0,6291459.0,6524475.0,7190238.0,6291459.0,6291459.0,8388609.0,6775416.0,6291459.0,6863409.0,6564999.0,6291459.0,6543117.0,6291459.0,6291459.0,6291459.0,6591051.0,6291459.0,12582915.0,6622587.0,6291459.0,6291459.0","12582910.0,10847340.0,11102570.0,10485760.0,11650845.0,11184810.0,10485760.0,10485760.0,10485760.0,10824010.0,10485760.0,10485760.0,10874120.0,11983725.0,10485760.0,10485760.0,13981015.0,11292355.0,10485760.0,11439010.0,10941665.0,10485760.0,10905190.0,10485760.0,10485760.0,10485760.0,10985080.0,10485760.0,20971520.0,11037640.0,10485760.0,10485760.0","7549749.0,6508404.0,6661542.0,6291459.0,6990507.0,6710889.0,6291459.0,6291459.0,6291459.0,6494409.0,6291459.0,6291459.0,6524475.0,7190238.0,6291459.0,6291459.0,8388609.0,6775416.0,6291459.0,6863409.0,6564999.0,6291459.0,6543117.0,6291459.0,6291459.0,6291459.0,6591051.0,6291459.0,12582915.0,6622587.0,6291459.0,6291459.0"
SQ_INSTS_SALU,"17105478.391304348,15098277.913043479,15393432.173913043,14680091.217391305,16027521.652173912,15488557.739130436,14680116.0,14680096.173913043,14680086.260869564,15071304.52173913,14680081.304347826,14680078.826086957,15129238.0,16412512.869565217,14680096.173913043,14680091.217391305,18722413.913043477,15612925.956521738,14680108.56521739,15782540.608695652,15207364.347826088,14680086.260869564,15165183.52173913,14680098.652173912,14680083.782608695,14680096.173913043,15257558.217391305,14680078.826086957,26807088.217391305,15318342.52173913,14680078.826086957,14680086.260869564","25165830.0,21694716.0,22205146.0,20971545.0,23301693.0,22369645.0,20971575.0,20971551.0,20971539.0,21648069.0,20971533.0,20971530.0,21748265.0,23967466.0,20971551.0,20971545.0,27962033.0,22584723.0,20971566.0,22878039.0,21883363.0,20971539.0,21810420.0,20971554.0,20971536.0,20971551.0,21970176.0,20971530.0,41943050.0,22075293.0,20971530.0,20971539.0","22649247.0,19525248.0,19984632.0,18874392.0,20971524.0,20132682.0,18874422.0,18874398.0,18874386.0,19483266.0,18874380.0,18874377.0,19573440.0,21570720.0,18874398.0,18874392.0,25165830.0,20326251.0,18874413.0,20590236.0,19695030.0,18874386.0,19629381.0,18874401.0,18874383.0,18874398.0,19773159.0,18874377.0,37748745.0,19867764.0,18874377.0,18874386.0","25165830.0,21694752.0,22205152.0,20971560.0,23301696.0,22369660.0,20971620.0,20971572.0,20971548.0,21648108.0,20971536.0,20971530.0,21748280.0,23967472.0,20971572.0,20971560.0,27962036.0,22584726.0,20971602.0,22878048.0,21883396.0,20971548.0,21810450.0,20971578.0,20971542.0,20971572.0,21970182.0,20971530.0,41943050.0,22075296.0,20971530.0,20971548.0","30198990.0,26033688.0,26646180.0,25165860.0,27962034.0,26843580.0,25165920.0,25165872.0,25165848.0,25977708.0,25165836.0,25165830.0,26097924.0,28760958.0,25165872.0,25165860.0,33554442.0,27101664.0,25165902.0,27453648.0,26260062.0,25165848.0,26172522.0,25165878.0,25165842.0,25165872.0,26364210.0,25165830.0,50331654.0,26490348.0,25165830.0,25165848.0","22649247.0,19525248.0,19984632.0,18874392.0,20971524.0,20132682.0,18874422.0,18874398.0,18874386.0,19483266.0,18874380.0,18874377.0,19573440.0,21570720.0,18874398.0,18874392.0,25165830.0,20326251.0,18874413.0,20590236.0,19695030.0,18874386.0,19629381.0,18874401.0,18874383.0,18874398.0,19773159.0,18874377.0,37748745.0,19867764.0,18874377.0,18874386.0"
SQ_INSTS,"68421910.95652173,60393099.13043478,61573724.43478261,58720358.13043478,64110083.17391305,61954224.217391305,58720449.0,58720376.30434783,58720339.95652174,60285204.73913044,58720321.782608695,58720312.69565217,60516945.26086956,65650047.217391305,58720376.30434783,58720358.13043478,74889652.2173913,62451700.39130435,58720421.73913044,63130157.347826086,60829445.69565217,58720339.95652174,60660723.217391305,58720385.39130435,58720330.86956522,58720376.30434783,61030228.60869565,58720312.69565217,107228350.26086956,61273366.652173914,58720312.69565217,58720339.95652174","75497490.0,65084172.0,66615442.0,62914645.0,69905081.0,67108945.0,62914755.0,62914667.0,62914623.0,64944233.0,62914601.0,62914590.0,65244805.0,71902402.0,62914667.0,62914645.0,83886101.0,67754171.0,62914722.0,68634123.0,65650111.0,62914623.0,65431280.0,62914678.0,62914612.0,62914667.0,65910532.0,62914590.0,125829150.0,66225881.0,62914590.0,62914623.0","88080405.0,75931512.0,77718012.0,73400410.0,81555926.0,78293760.0,73400520.0,73400432.0,73400388.0,75768248.0,73400366.0,73400355.0,76118930.0,83886132.0,73400432.0,73400410.0,97867116.0,79046531.0,73400487.0,80073138.0,76591776.0,73400388.0,76336475.0,73400443.0,73400377.0,73400432.0,76895617.0,73400355.0,146800675.0,77263526.0,73400355.0,73400388.0","100663320.0,86778900.0,88820590.0,83886195.0,93206775.0,89478595.0,83886345.0,83886225.0,83886165.0,86592315.0,83886135.0,83886120.0,86993075.0,95869870.0,83886225.0,83886195.0,111848135.0,90338895.0,83886300.0,91512165.0,87533485.0,83886165.0,87241710.0,83886240.0,83886150.0,83886225.0,87880710.0,83886120.0,167772200.0,88301175.0,83886120.0,83886165.0","153511517.0,132337728.0,135451384.0,127926362.0,142140324.0,136454772.0,127926512.0,127926392.0,127926332.0,132053132.0,127926302.0,127926287.0,132664354.0,146201490.0,127926392.0,127926362.0,170568398.0,137766761.0,127926467.0,139555982.0,133488478.0,127926332.0,133043483.0,127926407.0,127926317.0,127926392.0,134018021.0,127926287.0,255852559.0,134659238.0,127926287.0,127926332.0","98146737.0,84609384.0,86600068.0,81789022.0,90876602.0,87241612.0,81789132.0,81789044.0,81789000.0,84427460.0,81788978.0,81788967.0,84818230.0,93473116.0,81789044.0,81789022.0,109051928.0,88080419.0,81789099.0,89224350.0,85345108.0,81789000.0,85060631.0,81789055.0,81788989.0,81789044.0,85683685.0,81788967.0,163577895.0,86093642.0,81788967.0,81789000.0"
SQ_INSTS_VALU,"21992755.695652176,19412060.86956522,19791552.0,18874397.217391305,20606810.608695652,19913854.173913043,18874422.0,18874402.173913043,18874392.260869566,19377380.086956523,18874387.304347824,18874384.826086957,19451871.652173914,21101798.608695652,18874402.173913043,18874397.217391305,24071672.086956523,20073759.0,18874414.56521739,20291833.56521739,19552315.56521739,18874392.260869566,19498083.782608695,18874404.652173914,18874389.782608695,18874402.173913043,19616856.913043477,18874384.826086957,34466254.04347826,19695008.86956522,18874384.826086957,18874392.260869566","20132664.0,17355780.0,17764118.0,16777239.0,18641355.0,17895719.0,16777269.0,16777245.0,16777233.0,17318463.0,16777227.0,16777224.0,17398615.0,19173974.0,16777245.0,16777239.0,22369627.0,18067779.0,16777260.0,18302433.0,17506697.0,16777233.0,17448342.0,16777248.0,16777230.0,16777245.0,17576142.0,16777224.0,33554440.0,17660235.0,16777224.0,16777233.0","27682413.0,23864184.0,24425660.0,23068698.0,25631862.0,24606608.0,23068728.0,23068704.0,23068692.0,23812872.0,23068686.0,23068683.0,23923090.0,26364212.0,23068704.0,23068698.0,30758236.0,24843195.0,23068719.0,25165842.0,24071696.0,23068692.0,23991459.0,23068707.0,23068689.0,23068704.0,24167193.0,23068683.0,46137355.0,24282822.0,23068683.0,23068692.0","32715579.0,28203132.0,28866690.0,27263009.0,30292201.0,29080539.0,27263049.0,27263017.0,27263001.0,28142491.0,27262993.0,27262989.0,28272745.0,31157706.0,27263017.0,27263009.0,36350643.0,29360140.0,27263037.0,29741451.0,28448373.0,27263001.0,28353547.0,27263021.0,27262997.0,27263017.0,28561229.0,27262989.0,54525965.0,28697881.0,27262989.0,27263001.0","72980882.0,62914620.0,64394914.0,60817432.0,67574905.0,64871922.0,60817472.0,60817440.0,60817424.0,62779314.0,60817416.0,60817412.0,63069920.0,69505617.0,60817440.0,60817432.0,81089891.0,65495667.0,60817460.0,66346274.0,63461701.0,60817424.0,63250146.0,60817444.0,60817420.0,60817440.0,63713476.0,60817412.0,121634820.0,64018320.0,60817412.0,60817424.0","35232162.0,30372588.0,31087202.0,29360157.0,32622369.0,31317497.0,29360187.0,29360163.0,29360151.0,30307281.0,29360145.0,29360142.0,30447565.0,33554450.0,29360163.0,29360157.0,39146845.0,31618611.0,29360178.0,32029251.0,30636695.0,29360151.0,30534576.0,29360166.0,29360148.0,29360163.0,30758244.0,29360142.0,58720270.0,30905409.0,29360142.0,29360151.0"
