,initKernel(HIP_vector_type<float__4u>*__unsigned_long)_,void_sumKernel<24__1024>(HIP_vector_type<float__4u>*__HIP_vector_type<float__4u>_const*__int)_
CPC_UTCL1_STALL_ON_TRANSLATION,"2033.2325581395348,2085.5988372093025,2104.3720930232557,2106.68023255814,2148.3313953488373,2118.0058139534885","3628.9302325581393,3677.279069767442,3723.9418604651164,3736.2558139534885,3825.5697674418607,3812.3488372093025"
CPF_CPF_STAT_IDLE,"0.0,67201.6046511628,0.0,171719.28488372092,0.0,0.0","1741205.1744186047,1612100.511627907,1716338.3488372094,2180337.6511627906,1508473.0697674418,1923927.093023256"
CPF_CPF_TCIU_IDLE,"626515.6686046511,693270.3139534884,628150.2906976744,798314.9127906977,625496.5058139535,627759.5348837209","41260919.29069767,41305587.91860465,41123809.18604651,41582741.77906977,41127819.94186047,41649297.18604651"
TCC_REQ_sum,"7513272.703488371,7513490.383720931,7513369.813953488,7513571.25,7513337.5058139535,7513304.686046512","312795960.4186046,312739294.9883721,312801590.39534885,312808824.4302325,312789623.4069767,312820287.4302325"
TCC_HIT_sum,"3756630.1802325584,3756743.0406976743,3756678.052325581,3756787.9418604653,3756662.13372093,3756646.88372093","107667525.46511628,107664948.02325581,107158228.38372092,107333273.89534885,107127583.15116279,106347286.04651162"
TCC_MISS_sum,"3756642.523255814,3756747.343023256,3756691.7616279074,3756783.3081395347,3756675.3720930233,3756657.8023255817","205128434.95348838,205074346.96511626,205643362.0116279,205475550.53488374,205662040.25581396,206473001.38372093"
wave_size_2,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
SQC_TC_REQ,"39.48255813953489,41.127906976744185,40.79069767441861,39.56976744186046,88.05232558139534,39.674418604651166","212.2093023255814,396.2325581395349,336.5232558139535,216.36046511627907,229.86046511627907,211.66279069767444"
SQC_ICACHE_REQ,"1409137.8604651163,1409167.8604651163,1409155.8604651163,1409173.8604651163,1409289.6511627908,1409143.8604651163","81600000.0,81600923.59302326,81600491.34883721,81600020.5,81600000.0,81600000.0"
SQC_ICACHE_HITS,"1409110.6046511629,1409136.4186046512,1409124.3255813955,1409146.6046511629,1409225.7616279072,1409116.558139535","81599387.3372093,81600140.66279069,81599674.76744185,81599358.88372093,81599273.54651162,81599392.72093023"
SQC_ICACHE_MISSES,"1.9883720930232558,2.3255813953488373,2.302325581395349,1.9825581395348837,4.651162790697674,2.005813953488372","10.232558139534882,17.686046511627907,16.872093023255815,10.802325581395348,10.941860465116278,10.581395348837209"
wave_size_3,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
SQC_ICACHE_MISSES_DUPLICATE,"25.25,57.633720930232556,24.936046511627907,25.023255813953487,25.5,25.116279069767444","663.0581395348837,461.24418604651163,623.2558139534884,626.6627906976744,611.8255813953489,640.3255813953488"
SQC_DCACHE_INPUT_VALID_READYB,"550.4825581395348,668.8546511627907,552.6860465116279,541.7906976744187,547.5116279069767,541.3953488372093","4117208.0348837213,4106972.6976744183,4132112.6511627906,4122631.7906976743,4115051.639534883,4113017.872093023"
SQC_DCACHE_REQ,"624.0,661.4883720930233,624.0,624.0,624.0,624.0","4800045.779069767,4800000.0,4800000.0,4800000.0,4800018.023255814,4800000.0"
SQC_DCACHE_HITS,"208.0,208.0,208.0,208.0,208.0,208.0","4798187.546511628,4798223.627906976,4798223.627906976,4798183.2558139535,4798182.534883721,4798183.2558139535"
SQC_DCACHE_MISSES,"31.424418604651162,69.26162790697674,31.331395348837212,31.78488372093023,31.55232558139535,31.80232558139535","104.25581395348837,57.30232558139535,57.30232558139535,58.6046511627907,76.65116279069767,58.6046511627907"
SQC_DCACHE_MISSES_DUPLICATE,"384.5755813953488,384.2267441860465,384.6686046511628,384.2151162790698,384.4476744186046,384.1976744186046","1753.9767441860465,1719.0697674418604,1719.0697674418604,1758.139534883721,1758.8372093023256,1758.139534883721"
wave_size_4,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
wave_size_5,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
SQ_INSTS_VALU_INT32,"1878711.8139534884,1878751.8139534884,1878735.8139534884,1878759.8139534884,1878727.8139534884,1878719.8139534884","129600000.0,129600000.0,129600000.0,129600000.0,129600000.0,129600000.0"
SQ_INSTS_VALU_INT64,"469781.9534883721,469791.9534883721,469787.9534883721,469793.9534883721,469785.9534883721,469783.9534883721","28800000.0,28800000.0,28800000.0,28800000.0,28800000.0,28800000.0"
SQ_INSTS_SMEM,"624.0,624.0,624.0,624.0,624.0,624.0","4800000.0,4800000.0,4800000.0,4800000.0,4800001.441860465,4800000.0"
SQ_INSTS_FLAT,"469573.9534883721,469583.9534883721,469579.9534883721,469585.9534883721,469577.9534883721,469575.9534883721","38400000.0,38400000.0,38400000.0,38400000.0,38400000.0,38400000.0"
TCP_TOTAL_WRITEBACK_INVALIDATES_sum,"0.0,0.0,0.0,0.0,0.0,0.0","9.674418604651162,9.674418604651162,14.511627906976743,9.674418604651162,9.674418604651162,9.674418604651162"
TCP_TOTAL_CACHE_ACCESSES_sum,"7513183.2558139535,7513343.2558139535,7513279.2558139535,7513375.2558139535,7513247.2558139535,7513215.2558139535","614400000.0,614400000.0,614400000.0,614400000.0,614400023.8139534,614400000.0"
SPI_RA_RES_STALL_CSN,"0.0,0.0,0.0,0.0,0.0,0.0","24121205.58139535,24199162.56976744,23845819.38372093,23946822.325581394,23440085.023255814,24076458.406976745"
CPC_CPC_UTCL2IU_BUSY,"2341.2558139534885,2396.982558139535,2264.203488372093,2337.1686046511627,2282.7267441860467,2357.156976744186","4042.232558139535,4058.8837209302324,3935.186046511628,3942.860465116279,3773.302325581395,3946.988372093023"
CPC_CPC_UTCL2IU_IDLE,"624418.8837209303,625203.8139534884,624824.0406976744,621146.4244186046,626514.5988372093,627568.6686046511","41039683.52325581,39576158.45348837,41542485.883720934,41117748.13953488,41113985.05813953,41157212.87209302"
CPF_CMP_UTCL1_STALL_ON_TRANSLATION,"137.47093023255815,126.34302325581395,91.01744186046511,129.33139534883722,88.16279069767442,91.43023255813954","264.5813953488372,237.56976744186045,395.75581395348837,257.8372093023256,242.36046511627907,233.87209302325581"
TCC_READ_sum,"92.03488372093022,90.22674418604652,89.65697674418604,90.30232558139535,91.0813953488372,91.28488372093024","312784965.96511626,312721029.75581396,312685974.0,312729347.60465115,312816994.53488374,312894056.2790698"
TCC_WRITE_sum,"7513183.2558139535,7513343.2558139535,7513279.2558139535,7513375.2558139535,7513247.2558139535,7513215.2558139535","0.0,0.0,0.0,0.0,12.69767441860465,0.0"
TCC_WRITEBACK_sum,"3739958.0697674416,3740035.4767441857,3739816.7441860465,3740051.6744186045,3739800.1860465114,3739783.9476744183","31.75581395348837,31.75581395348837,32.23255813953489,31.74418604651163,37.80232558139535,31.77906976744186"
wave_size_6,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
SQ_INSTS_BRANCH,"469781.9534883721,469791.9534883721,469787.9534883721,469793.9534883721,469785.9534883721,469783.9534883721","3200000.0,3200000.0,3200006.488372093,3200000.0,3200000.0,3200016.034883721"
SQ_INSTS_SENDMSG,"208.0,208.0,208.0,208.0,208.0,208.0","1600000.0,1600000.0,1600000.2325581396,1600000.0,1600000.0,1600000.5348837208"
SQ_WAIT_ANY,"4860069.011627907,4862857.761627907,4863630.186046512,4862340.796511628,4861214.51744186,4860438.604651162","2587950523.081395,2611844827.837209,2632215573.4534883,2593060575.918605,2591444010.872093,2596276572.139535"
SQ_WAIT_INST_ANY,"19366504.76744186,19179030.093023255,19187635.639534887,19045601.93023256,19120196.848837208,19198084.755813953","18204475445.465115,18409020622.82558,18229660186.081394,17983392093.11628,18122863567.94186,18006823958.930233"
SQ_ACTIVE_INST_ANY,"6577363.34883721,6577503.34883721,6577447.34883721,6577531.34883721,6577419.34883721,6577391.34883721","393600000.0,393600000.0,393600096.88372093,393600000.0,393600000.0,393600223.8488372"
SQ_ACTIVE_INST_VALU,"4696571.534883721,4696671.534883721,4696631.534883721,4696691.534883721,4696611.534883721,4696591.534883721","300800000.0,300800000.0,300800013.95348835,300800000.0,300800000.0,300800032.0930233"
TCP_UTCL1_TRANSLATION_MISS_sum,"11949.023255813954,11949.162790697676,11949.116279069767,11949.162790697676,11949.069767441859,11949.069767441859","939340.5930232558,939143.6162790698,939585.4418604651,938949.8255813953,939199.7558139535,938986.2906976744"
TCP_UTCL1_TRANSLATION_HIT_sum,"7385238.48255814,7385415.6569767445,7385312.302325581,7385332.912790698,7385259.226744186,7385245.540697674","604970779.9418604,604961535.8953488,604950953.9534883,604963899.9069767,604964193.627907,604968202.4651163"
TCP_UTCL1_REQUEST_sum,"7513183.2558139535,7513343.2558139535,7513279.2558139535,7513375.2558139535,7513247.2558139535,7513215.2558139535","614400000.0,614400000.0,614400059.5348837,614400000.0,614400000.0,614400136.9302325"
TA_ADDR_STALLED_BY_TC_CYCLES_sum,"1289064.8255813953,1246219.4360465116,1262031.3255813953,1334657.4360465116,1302730.9418604653,1302596.3255813953","3374385482.290698,3415413520.0697675,3441414472.9069767,3379063863.44186,3381585200.0930233,3387343189.383721"
TA_TOTAL_WAVEFRONTS_sum,"469573.9534883721,469583.9534883721,469579.9534883721,469585.9534883721,469577.9534883721,469575.9534883721","38400000.0,38400000.0,38400014.883720934,38400000.0,38400000.0,38400034.23255814"
SPI_RA_WAVE_SIMD_FULL_CSN,"0.0,0.0,0.0,0.0,0.0,0.0","1175394048.1046512,1191031652.8139534,1186949180.5,1144814054.7093024,1166989192.6162791,1138589774.6279068"
SPI_RA_VGPR_SIMD_FULL_CSN,"0.0,0.0,0.0,0.0,0.0,0.0","1182759246.3255816,1198500907.6744184,1193926382.0581396,1151825391.8023255,1174408832.488372,1145698350.8837209"
CPC_ME1_BUSY_FOR_PACKET_DECODE,"626660.2209302326,624242.0,623688.6453488372,620199.25,622783.9011627907,623048.0348837209","54085.04651162791,55110.53488372093,54445.93023255814,54162.58139534884,55237.69767441861,53844.58139534884"
TCC_EA_WRREQ_sum,"7479537.802325581,7479689.639534884,7479634.674418605,7480479.976744186,7480366.26744186,7479577.290697674","0.0,0.0,30.11627906976744,0.0,0.0,69.26744186046511"
TCC_EA_WRREQ_64B_sum,"7479537.802325581,7479689.639534884,7479634.674418605,7480479.976744186,7480366.26744186,7479577.290697674","0.0,0.0,30.11627906976744,0.0,0.0,69.26744186046511"
TCC_EA_WRREQ_STALL_sum,"1486893.1802325582,1472524.5639534884,1532376.6395348837,1464373.8779069767,1510323.441860465,1493164.7209302327","0.0,0.0,203.06976744186048,0.0,0.0,2598.953488372093"
wave_size_7,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
wave_size_8,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
SQC_DCACHE_REQ_READ_1,"416.0,416.0,416.0,416.0,416.0,416.0","3200000.0,3200000.0,3200000.0,3200055.1279069767,3202419.7441860465,3200040.162790698"
SQC_DCACHE_REQ_READ_4,"208.0,208.0,208.0,208.0,208.0,208.0","1600000.0,1600000.0,1600000.0,1600010.0232558139,1600439.953488372,1600007.3023255814"
wave_size_9,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
SQC_TC_INST_REQ,"7.372093023255815,7.348837209302326,6.651162790697674,8.69767441860465,58.622093023255815,8.720930232558139","134.86046511627907,121.16279069767442,102.75581395348837,134.1046511627907,3313.593023255814,134.61627906976744"
SQC_TC_DATA_READ_REQ,"31.71511627906977,31.918604651162788,31.74418604651163,31.38953488372093,48.70930232558139,31.75","58.6046511627907,57.30232558139535,57.30232558139535,58.6046511627907,3269.0348837209303,58.6046511627907"
TCP_TCC_RW_READ_REQ_sum,"0.0,0.0,0.0,0.0,38.69767441860465,0.0","614400000.0,614400000.0,614400000.0,614400000.0,614451057.1162791,614400000.0"
TCP_TCC_RW_WRITE_REQ_sum,"7513183.2558139535,7513343.2558139535,7513279.2558139535,7513375.2558139535,7513285.953488372,7513215.2558139535","0.0,0.0,0.0,0.0,51057.11627906977,0.0"
TCP_PENDING_STALL_CYCLES_sum,"29297698.924418602,29199236.04069767,29435848.31395349,29236134.209302325,29259075.610465117,29380247.186046515","3418605377.6279073,3470179571.616279,3388704736.476744,3411222903.988372,3446694949.9069767,3406085363.627907"
TCC_EA_RDREQ_DRAM_sum,"51.33720930232558,51.83139534883721,51.372093023255815,50.43604651162791,93.25,52.5","411805004.4767442,410881671.9302326,409242165.8604651,408372771.9186046,408145675.82558143,412310753.03488374"
TCC_EA_WRREQ_DRAM_sum,"7480301.558139535,7480448.848837209,7480394.209302326,7480104.65116279,7477662.23255814,7479952.174418605","0.0,0.0,0.0,0.0,51656.13953488372,0.0"
TCC_EA_RDREQ_LEVEL_sum,"76170.58139534884,77062.60465116278,76313.30232558139,74746.07558139534,85826.90697674418,78034.17441860464","210147423281.40698,205759458887.31396,207740038735.18604,205022766049.3372,208044041882.2093,211819466627.55814"
TCC_EA_WRREQ_LEVEL_sum,"2795612485.5930233,2809775931.5465117,2773859321.994186,2787773381.895349,2797984542.1918607,2811457319.1918607","0.0,0.0,0.0,0.0,44600899.97674419,0.0"
wave_size_10,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
SQ_ITEMS,"13312.0,13312.0,13312.0,13312.0,13387.627906976744,13312.0","102400000.0,102400000.0,102400000.0,102400001.01162791,102405172.96511628,102400017.0"
TA_FLAT_WRITE_WAVEFRONTS_sum,"469573.9534883721,469583.9534883721,469579.9534883721,469585.9534883721,469577.9534883721,469575.9534883721","0.0,0.0,0.0,0.0,0.0,0.0"
SPI_SWC_CSC_WR,"416.0,416.0,416.0,416.0,241.86046511627907,416.0","3200000.0,3200000.0,3200000.0,3200000.0,1849676.6511627906,3200000.0"
TCC_EA_RDREQ_DRAM_CREDIT_STALL_sum,"0.0,0.0,0.0,0.0,0.0,0.0","35692214.34883721,33815138.70930233,35660080.883720934,33498916.93023256,34405537.406976745,34468219.20930232"
TCC_TAG_STALL_sum,"765861.1744186047,762966.2616279069,761245.3837209303,769740.5930232558,778624.0058139535,773218.3372093022","96615736.74418604,91314109.79069766,96526049.95348836,90480150.4883721,96699453.73255815,93031959.74418604"
wave_size_11,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
SQ_CYCLES,"5024293.116279069,5017181.534883721,5029882.511627908,5013565.627906976,5030128.186046512,5021079.488372093","327587716.09302324,318819981.0232558,324487217.2093023,332361053.11627907,318321516.372093,326462489.76744187"
SQ_BUSY_CYCLES,"4725533.0813953485,4717898.76744186,4729904.75,4709656.73255814,4714977.575581396,4724289.941860465","315147034.61627907,315860555.6511628,309540869.4883721,318690224.8255814,316488782.9883721,313111149.89534885"
SQ_WAVES,"208.0,208.0,208.0,208.0,210.4186046511628,208.0","1600000.6976744186,1600000.6860465116,1600000.0,1600000.2441860465,1600167.1046511629,1600000.0348837208"
SQ_BUSY_CU_CYCLES,"30684398.244186047,30636466.598837208,30709258.325581394,30578955.087209303,30612229.040697675,30678333.284883723","4050740265.7906976,4056825291.6162786,3981741313.6744184,4097539599.6860466,4072619552.9767447,4026409553.6627903"
SQ_WAVE_CYCLES,"30684398.244186047,30636466.598837208,30709258.325581394,30578955.087209303,30612229.040697675,30678333.284883723","21202513990.011627,21242590633.523254,20809829054.872093,21434299144.360466,21508975436.279068,21050721223.82558"
SQ_INSTS_VALU_CVT,"0.0,0.0,0.0,0.0,0.0,0.0","3200000.0,3200000.0,3200000.0,3200000.0,3200000.0,3200000.0"
SQ_INSTS_VMEM_WR,"469573.9534883721,469583.9534883721,469579.9534883721,469585.9534883721,469597.30232558143,469575.9534883721","44.651162790697676,43.906976744186046,0.0,15.627906976744185,10694.697674418605,2.2325581395348837"
SQ_INSTS_VMEM_RD,"0.0,0.0,0.0,0.0,19.348837209302324,0.0","38400044.65116279,38400043.906976745,38400000.0,38400015.62790698,38410694.697674416,38400002.23255814"
GRBM_COUNT,"628035.6395348837,627146.6918604651,628734.3139534885,626694.703488372,628765.023255814,627633.9360465116","40948463.511627905,39852496.62790698,40560901.15116279,41545130.63953488,39790188.54651163,40807810.22093023"
GRBM_GUI_ACTIVE,"628035.6395348837,627146.6918604651,628734.3139534885,626694.703488372,628541.4360465116,627633.9360465116","39425821.89534883,39513742.8372093,38730175.72093023,39868266.94186047,39650000.616279066,39172153.593023255"
TCP_GATE_EN1_sum,"61703415.02325581,61603537.27906977,61760291.470930226,61496683.55813953,61586578.20930233,61687174.133720934","4097206941.348837,4106478285.2325583,4024331309.7325583,4143267967.0348835,4114795428.3953485,4070736042.94186"
TCP_GATE_EN2_sum,"30561883.88372093,30513081.965116277,30583690.84883721,30456356.906976745,30449767.058139533,30552536.53488372","4052690653.627907,4058869999.9534883,3983420056.2674417,4099670594.3139534,4074112505.418605,4028265667.8023257"
TCP_TD_TCP_STALL_CYCLES_sum,"0.0,0.0,0.0,0.0,0.5406976744186046,0.0","5935314.883720931,5905401.360465117,5968938.197674418,5859656.0813953485,5932277.569767442,5940242.267441861"
TCP_TCR_TCP_STALL_CYCLES_sum,"21572151.38372093,21531312.662790697,21579473.418604653,21425173.43023256,21442204.395348836,21527804.610465117","735925893.9651163,731879408.744186,693296010.627907,769583574.4186046,740121563.4883721,727164653.0"
TA_TA_BUSY_sum,"30532202.273255814,30483576.360465117,30554651.465116277,30426879.244186047,30409279.412790697,30523129.453488372","4015167081.9883723,4020269754.6744184,3948019021.4186044,4061671989.360465,4038299001.639535,3990977454.023256"
TD_TD_BUSY_sum,"30557957.465116277,30509156.558139537,30579766.023255814,30452430.88372093,30445293.505813956,30548610.93023256","4052203548.9651165,4058380185.1744184,3982948717.860465,4099199102.476744,4073622668.127907,4027783187.05814"
TD_TC_STALL_sum,"30055109.872093022,30005794.517441858,30076231.924418606,29949572.174418602,29940118.30232558,30044946.575581394","3427961261.976744,3434189436.883721,3358622957.965116,3475091692.372093,3448099708.883721,3403524712.7441864"
SPI_CSN_WINDOW_VALID,"5024275.261627907,5017165.308139535,5029864.610465117,5013548.703488371,4962681.4941860465,5021063.075581395","327587708.09302324,318819973.0232558,324487209.2093023,332361045.11627907,301471713.10465115,326462481.76744187"
SPI_CSN_BUSY,"4733641.540697674,4725890.540697674,4737977.784883721,4717674.604651162,3319128.9709302327,4732338.360465116","315156078.59302324,315869363.0,309550066.1511628,318699181.59302324,204055707.62790698,313119977.39534885"
CPC_CPC_STAT_BUSY,"628035.6395348837,627146.6918604651,628734.3139534885,626694.703488372,628527.8837209303,627633.9360465116","39425499.30232558,39513484.755813956,38730052.97674419,39868140.38372093,39649219.12790698,39171829.73255814"
CPC_CPC_STAT_IDLE,"0.0,0.0,0.0,0.0,237.13953488372093,0.0","1522964.2093023255,339011.87209302327,1830848.1744186047,1676990.2558139535,140969.41860465115,1635980.488372093"
CPF_CPF_STAT_BUSY,"628035.6395348837,627146.6918604651,628734.3139534885,626694.703488372,628541.4069767442,627633.9360465116","39425821.77906977,39513742.73255814,38730175.60465117,39868266.79069767,39649998.97674418,39172153.5"
CPF_CPF_STAT_STALL,"129.20348837209303,88.27325581395348,97.11627906976744,128.27325581395348,275.25,129.34302325581396","243.6860465116279,271.65116279069764,255.34883720930233,250.4186046511628,5417.767441860466,282.7093023255814"
TCC_CYCLE_sum,"20097140.465116277,20068694.139534883,20119498.04651163,20054230.511627905,20120480.744186047,20084285.953488372","1310350832.372093,1275279892.0930233,1297948836.8372092,1329444180.4651163,1273286033.488372,1305849927.0697675"
TCC_BUSY_sum,"19568502.59883721,19546813.19767442,19588733.046511628,19493830.436046515,19510236.215116277,19553933.93023256","1260757754.3953488,1263585899.6976745,1238337493.6511629,1274937993.4302325,1266114018.639535,1252620155.5813954"
TCC_PROBE_sum,"6607.377906976744,7149.581395348837,7052.360465116279,6599.895348837209,8761.017441860464,6411.796511627907","4731945.872093023,4845451.058139535,4751441.4186046515,4715979.058139535,5585305.186046512,4696078.709302326"
wave_size_12,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
SQ_INSTS_VMEM,"469573.9534883721,469583.9534883721,469599.30232558143,469585.9534883721,469597.30232558143,469575.9534883721","38400261.95348837,38400000.0,38400047.62790698,38400004.46511628,38400000.0,38400090.79069768"
SQ_INSTS_SALU,"940603.9069767442,940623.9069767442,940941.2093023256,940627.9069767442,940937.2093023256,940607.9069767442","44800742.093023255,44800000.0,44800135.02325581,44800012.674418606,44800000.0,44800257.325581394"
SQ_INSTS,"6577779.34883721,6577919.34883721,6578408.988372093,6577947.34883721,6578391.465116279,6577807.34883721","428801664.7790698,428800000.0,428800280.7790698,428800025.872093,428800000.0,428800556.46511626"
SQ_INSTS_VALU,"4696571.534883721,4696671.534883721,4696641.209302326,4696691.534883721,4696621.209302326,4696591.534883721","296000245.5813954,296000000.0,296000044.6511628,296000004.1860465,296000000.0,296000085.11627907"
GRBM_SPI_BUSY,"619710.7441860464,616989.5813953488,618098.761627907,614650.3313953489,618988.4302325582,618848.046511628","39663993.89534883,39342623.04651163,39617392.45348837,39360541.44186047,39188454.8255814,39312870.70930233"
TCP_TA_TCP_STATE_READ_sum,"469573.9534883721,469583.9534883721,469599.30232558143,469585.9534883721,469597.30232558143,469575.9534883721","38400261.95348837,38400000.0,38400047.62790698,38400004.46511628,38400000.0,38400090.79069768"
