,initKernel(double *_ unsigned long),void sumKernel<(int)32_ (int)1024>(double *_ const double *_ int)
dram__bytes_write.sum,"0.30513662573099415,0.3051680701754386,0.30546806432748536,0.3052074561403509,0.3051168187134503,0.30531936257309944,0.30512430994152046","0.0005785581395348837,0.0008245232558139535,0.0009224767441860465,0.0009193372093023255,0.000547406976744186,0.000791232558139535,0.0007760116279069768"
dram__bytes_write.sum.pct_of_peak_sustained_elapsed,"38.88213129239766,38.948511549707604,39.24617276608188,38.858620374269,38.870647210526315,39.15575316959064,38.88288306432748","0.002707639534883721,0.0037918488372093028,0.004467383720930232,0.003996139534883721,0.0025154186046511626,0.0035491627906976742,0.003364174418604651"
dram__bytes_write.sum.per_second,"0.7975328011695906,0.7982844678362573,0.8027406198830409,0.7956597660818713,0.7968157660818713,0.8019174736842106,0.797217754385965","5.5232558139534884e-05,7.730232558139535e-05,9.109302325581396e-05,8.148837209302327e-05,5.134883720930232e-05,7.234883720930232e-05,6.855813953488372e-05"
dram__cycles_active.avg.pct_of_peak_sustained_elapsed,"38.884523573099415,38.95295432748538,39.24920131578948,38.86131743859649,38.87311338596491,39.158190783625734,38.88554761403509","51.971502953488375,51.999453255813954,51.974166709302324,51.96024953488372,51.965122558139534,51.966406488372094,51.964127627906976"
dram__cycles_elapsed.avg.per_second,"1.7096989532163742,1.7277149122807018,1.6156206023391813,1.7380729239766082,1.7524434678362573,1.7244451228070174,1.7333963391812865","1.5930483139534883,1.5927898604651163,1.592545593023256,1.5928913372093023,1.5931888139534884,1.5932178837209303,1.592790081395349"
dram__sectors_read.sum,"267.7426900584795,261.6140350877193,198.12865497076024,462.12865497076024,194.3859649122807,216.6549707602339,282.94736842105266","417915962.6976744,418356330.5116279,417923657.6744186,417903810.60465115,417888210.23255813,417904807.627907,417869732.6511628"
dram__sectors_write.sum,"9535520.046783626,9536502.409356724,9545877.707602339,9537732.023391813,9534900.023391813,9541230.222222222,9535133.988304093","18080.0,25766.418604651164,28827.81395348837,28730.325581395347,17107.06976744186,24726.13953488372,24250.883720930233"
fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed,"28.46496909356725,28.506494859649123,28.734727590643278,28.44318683040936,28.447694239766083,28.673607339181284,28.452408918128654","37.813732569767446,37.830969174418605,37.81466755813953,37.81644122093023,37.8068361744186,37.80879594186047,37.80587330232558"
gpc__cycles_elapsed.avg.per_second,"1.1683346783625732,1.179744029239766,1.1038379005847954,1.1872991871345029,1.197791134502924,1.1775443567251462,1.183814187134503","1.0910373023255813,1.0915150116279069,1.0912973720930232,1.0910395697674418,1.0906792906976743,1.090776058139535,1.091026441860465"
gpc__cycles_elapsed.max,"199717.74269005848,199825.76023391812,199273.95321637427,199465.18713450292,199709.45614035087,199726.85380116958,199834.25730994152","9827126.313953489,9833846.674418604,9830864.639534883,9829182.511627907,9828526.372093024,9828060.197674418,9826792.244186046"
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed,"28.15432381871345,28.035341935672513,28.956665637426898,28.021291391812863,27.94344276023392,28.10373916374269,27.971726795321636","56.7080846627907,56.717924593023255,56.70762684883721,56.70689396511628,56.676349046511625,56.65401474418604,56.67819122093024"
gpu__compute_memory_request_throughput.avg.pct_of_peak_sustained_elapsed,"55.07996083625731,54.9025766374269,56.365349584795325,54.919163163742695,54.780564228070176,55.0100780760234,54.84225967251462","92.06034896511628,92.07361596511628,92.0498275,92.05145882558139,92.07753405813953,92.05590841860466,92.07181441860466"
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,"55.10050321637427,54.92355324561404,56.3926698128655,54.93357121052631,54.80232960233918,55.031364456140345,54.86141367251462","92.06034896511628,92.07361596511628,92.0498275,92.05145882558139,92.07753405813953,92.05590841860466,92.07181441860466"
gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,"38.884523573099415,38.95295432748538,39.24920131578948,38.86131743859649,38.87311338596491,39.158190783625734,38.88554761403509","51.971502953488375,51.999453255813954,51.974166709302324,51.96024953488372,51.965122558139534,51.966406488372094,51.964127627906976"
gpu__time_duration.sum,"0.1818537543859649,0.18195536842105262,0.181890432748538,0.181895298245614,0.18153730994152048,0.18183223391812867,0.1819402105263158","8.980879255813955,8.986612465116279,8.985668837209301,8.98292911627907,8.982100465116279,8.981822139534883,8.981042976744186"
inst_executed,"15120752.280701755,15120848.280701755,15120992.280701755,15120800.280701755,15121040.280701755,15120944.280701755,15120896.280701755","416000000.0,416000000.0,416000000.0,416000000.0,416000000.0,416000000.0,416000000.0"
l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,"4.087694192982457,4.078843315789474,4.1709446725146195,4.079677520467836,4.068182596491228,4.082873228070175,4.075090216374269","11.822271395348837,11.804082895348836,11.796377906976744,11.821745046511628,11.81693773255814,11.807453372093022,11.817428139534883"
l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,"4.087694192982457,4.078843315789474,4.1709446725146195,4.079677520467836,4.068182596491228,4.082873228070175,4.075090216374269","11.415752,11.41551361627907,11.425448104651162,11.413862674418604,11.42673365116279,11.446503162790698,11.445461209302325"
l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,"8.195607116959064,8.177551654970761,8.364481789473684,8.178877204678363,8.155570631578946,8.185589169590644,8.16961370760234","24.216295627906977,24.17749588372093,24.163029732558137,24.215181255813953,24.204098627906976,24.18576370930233,24.20607106976744"
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,"416.0,416.0,416.0,416.0,416.0,416.0,416.0","3200000.0,3200000.0,3200000.0,3200000.0,3200000.0,3200000.0,3200000.0"
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,"0.020218695906432747,0.01986504678362573,0.022592538011695907,0.01952216374269006,0.019205508771929825,0.01984269590643275,0.01943332748538012","0.36944597674418606,0.36887756976744185,0.3686368372093023,0.36942952325581396,0.36927932558139537,0.3689829302325581,0.3692945813953488"
l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,"0.020218695906432747,0.01986504678362573,0.022592538011695907,0.01952216374269006,0.019205508771929825,0.01984269590643275,0.01943332748538012","24.01401537209302,23.977053441860466,23.961404523255815,24.012932058139537,24.00316277906977,23.983907162790697,24.004165453488373"
l1tex__lsu_writeback_active_mem_lgds.sum,"416.0,416.0,416.0,416.0,416.0,416.0,416.0","208000115.12790698,208000029.62790698,208000083.44186047,208000066.94186047,208000049.11627907,208000068.3255814,208000059.59302327"
l1tex__lsu_writeback_active_mem_lgds.sum.pct_of_peak_sustained_elapsed,"0.020218695906432747,0.01986504678362573,0.022592538011695907,0.01952216374269006,0.019205508771929825,0.01984269590643275,0.01943332748538012","24.01402265116279,23.977049767441862,23.96141034883721,24.012936441860464,24.00316631395349,23.983906174418603,24.00416519767442"
l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed,"4.107912859649122,4.098708321637427,4.193537116959064,4.099199643274853,4.087388064327485,4.102715906432749,4.09452349122807","12.191717290697675,12.17296046511628,12.165014686046511,12.191174627906976,12.186216988372092,12.176436290697673,12.18672276744186"
l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed,"32.71263498830409,32.64163428070175,33.37993960818713,32.64811978947368,32.555986789473685,32.673861263157896,32.61137266666667","11.42415861627907,11.417348848837209,11.43101323255814,11.416618872093023,11.429863872093023,11.451498511627907,11.448549360465115"
l1tex__m_l1tex2xbar_write_bytes.sum,"0.32243405847953216,0.32243609356725145,0.32243915204678364,0.3224350584795322,0.32244018713450295,0.3224381286549708,0.32243712865497076","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
l1tex__m_l1tex2xbar_write_bytes.sum.pct_of_peak_sustained_elapsed,"32.70155358479532,32.63074671929825,33.36755720467836,32.6374201754386,32.54546071929824,32.66298594736842,32.600721678362575","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
l1tex__m_l1tex2xbar_write_bytes.sum.per_second,"1.333750023391813,1.3298987251461987,1.334641216374269,1.3338052222222223,1.334779812865497,1.3335390701754386,1.3332829239766082","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st.sum,"10076064.187134502,10076128.187134502,10076224.187134502,10076096.187134502,10076256.187134502,10076192.187134502,10076160.187134502","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st.sum.pct_of_peak_sustained_elapsed,"32.70155358479532,32.63074671929825,33.36755720467836,32.6374201754386,32.54546071929824,32.66298594736842,32.600721678362575","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
l1tex__m_xbar2l1tex_read_bytes.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","25.76442639534884,25.775039802325583,25.786805720930236,25.7640726627907,25.77459937209302,25.793767534883724,25.787794697674418"
l1tex__m_xbar2l1tex_read_bytes.sum.pct_of_peak_sustained_elapsed,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","22.83056688372093,22.831156790697673,22.850892720930233,22.82729591860465,22.854005220930233,22.89488762790698,22.890840511627907"
l1tex__m_xbar2l1tex_read_bytes.sum.per_second,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","3.634470813953488,3.6360424069767436,3.6374118372093025,3.634303802325581,3.6363120232558135,3.644756593023256,3.644220069767442"
l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","22.83056688372093,22.831156790697673,22.850892720930233,22.82729591860465,22.854005220930233,22.89488762790698,22.890840511627907"
l1tex__m_xbar2l1tex_read_sectors_mem_lg_op_ld.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","805129026.2325581,805481629.7209302,805839441.2093023,805142714.6511627,805469139.1162791,806058143.255814,805850120.9302325"
l1tex__m_xbar2l1tex_read_sectors_mem_lg_op_ld.sum.pct_of_peak_sustained_elapsed,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","22.830494569767442,22.8316205,22.850863302325582,22.82777208139535,22.854619941860467,22.894203151162788,22.889920697674416"
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","102404377.96511628,102403906.36046511,102403499.15116279,102403226.08139534,102403777.39534883,102403202.37209302,102404224.19767442"
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","11.823258046511627,11.804872279069768,11.797091802325582,11.822400662790697,11.817677279069768,11.808120360465116,11.818337127906977"
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st.sum,"1259508.0233918128,1259516.0233918128,1259528.0233918128,1259512.0233918128,1259532.0233918128,1259524.0233918128,1259520.0233918128","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st.sum.pct_of_peak_sustained_elapsed,"4.087694192982457,4.078843315789474,4.1709446725146195,4.079677520467836,4.068182596491228,4.082873228070175,4.075090216374269","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","102400000.0,102400000.0,102400000.0,102400000.0,102400000.0,102400000.0,102400000.0"
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","11.822271395348837,11.804082895348836,11.796377906976744,11.821745046511628,11.81693773255814,11.807453372093022,11.817428139534883"
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum,"1259508.0233918128,1259516.0233918128,1259528.0233918128,1259512.0233918128,1259532.0233918128,1259524.0233918128,1259520.0233918128","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum.pct_of_peak_sustained_elapsed,"4.087694192982457,4.078843315789474,4.1709446725146195,4.079677520467836,4.068182596491228,4.082873228070175,4.075090216374269","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
l1tex__t_sector_hit_rate.pct,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","1.7178206627906976,1.674608988372093,1.626630546511628,1.721109569767442,1.6775667558139533,1.602418453488372,1.627968046511628"
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","1.718271651162791,1.677772976744186,1.6327681976744188,1.7205356395348839,1.677493441860465,1.6065002093023255,1.629493046511628"
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","819214002.0,819237175.2093023,819192382.0930233,819196533.5813954,819189943.4418604,819259305.8604652,819153990.4651163"
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","14077267.34883721,13745965.302325582,13372692.837209303,14093128.372093024,13742175.767441861,13169135.674418604,13347171.488372093"
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","805136734.6511627,805491209.9069767,805819689.255814,805103405.2093023,805447767.6744186,806090170.1860465,805806818.9767442"
l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum,"10076064.187134502,10076128.187134502,10076224.187134502,10076096.187134502,10076256.187134502,10076192.187134502,10076160.187134502","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss.sum,"10076064.187134502,10076128.187134502,10076224.187134502,10076096.187134502,10076256.187134502,10076192.187134502,10076160.187134502","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed,"0.03878488888888889,0.03810648538011696,0.04333847368421053,0.0374487134502924,0.03684132748538012,0.03806364912280702,0.0372783567251462","9.21860465116279e-05,9.206976744186046e-05,9.202325581395347e-05,9.222093023255815e-05,9.216279069767443e-05,9.205813953488372e-05,9.21860465116279e-05"
l1tex__throughput.avg.pct_of_peak_sustained_active,"91.30021396491229,91.28036971345028,91.1102940760234,91.3167440233918,91.3277974502924,91.36018256725146,91.38784604093567","24.236471744186044,24.224369337209303,24.212011860465118,24.26346904651163,24.224288953488372,24.22315018604651,24.23691554651163"
launch__cluster_max_potential_size,"8.0,8.0,8.0,8.0,8.0,8.0,8.0","8.0,8.0,8.0,8.0,8.0,8.0,8.0"
launch__registers_per_thread,"16.0,16.0,16.0,16.0,16.0,16.0,16.0","32.0,32.0,32.0,32.0,32.0,32.0,32.0"
launch__registers_per_thread_allocated,"4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0","32768.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0"
lts__d_sectors.avg.pct_of_peak_sustained_elapsed,"24.68396719883041,24.626599274853803,25.129206900584798,24.632706631578948,24.593615064327487,24.71453707017544,24.606600374269007","49.91507709302326,49.89388568604651,49.88969103488372,49.91670424418604,49.911299581395355,49.91248236046511,49.90604968604651"
lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed,"0.0016950701754385967,0.0033673391812865496,0.004628783625730995,0.002013923976608187,0.0017941461988304093,0.0016718830409356725,0.001426824561403509","37.80781515116279,37.8314059883721,37.81231680232558,37.81560656976744,37.80413626744186,37.80150609302326,37.80408597674418"
lts__d_sectors_fill_sysmem.avg.pct_of_peak_sustained_elapsed,"0.000328187134502924,0.00032017543859649123,0.000418953216374269,0.00035403508771929824,0.00033162573099415203,0.00033142105263157893,0.00031075438596491227","0.0002531046511627907,0.0002776860465116279,0.00028336046511627907,0.0002644418604651163,0.000256,0.00025267441860465115,0.00023531395348837212"
lts__lts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed,"0.667613432748538,0.6578177485380117,0.7567144678362574,0.6454599298245615,0.6337626140350877,0.6543234035087719,0.6407079941520467","60.74221429069767,60.72095581395349,60.73470552325582,60.74099225581395,60.757873255813955,60.737593244186044,60.75165262790697"
lts__t_requests.sum,"5012456.245614035,5011039.0994152045,5013116.233918129,5013609.239766082,5013478.584795321,5012874.046783626,5011877.444444444","302133068.8488372,302178541.7093023,302269398.372093,302153780.6627907,302199606.59302324,302193969.9186047,302148395.96511626"
lts__t_requests_srcunit_ltcfabric.sum,"2472804.5380116957,2472159.6140350876,2475380.1988304094,2472877.789473684,2474098.0,2473301.415204678,2472560.8771929825","106621880.11627907,106722243.52325581,106709164.95348836,106683038.48837209,106663566.38372093,106647265.39534883,106653322.69767442"
lts__t_requests_srcunit_tex.sum,"2519016.0467836256,2519032.0467836256,2519056.0467836256,2519024.0467836256,2519064.0467836256,2519048.0467836256,2519040.0467836256","194711366.76744187,194731186.1627907,194749445.8255814,194721225.8139535,194732475.5,194740454.87209302,194730993.89534885"
lts__t_requests_srcunit_tex_op_read.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","194700822.1860465,194713869.5,194766315.20930234,194704187.90697673,194764105.25581396,194760904.29069766,194724190.56976745"
lts__t_requests_srcunit_tex_op_write.sum,"2519016.0467836256,2519032.0467836256,2519056.0467836256,2519024.0467836256,2519064.0467836256,2519048.0467836256,2519040.0467836256","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
lts__t_sector_hit_rate.pct,"100.01969970175439,100.05329622222223,100.00882115789474,99.93613455555555,100.03544144444444,100.03710504093567,99.99591769590643","48.31364501162791,48.21679381395349,48.23779909302325,48.31206651162791,48.33116512790698,48.33467989534884,48.32988919767442"
lts__t_sectors.avg.pct_of_peak_sustained_elapsed,"24.62591230409357,24.524604538011697,25.254764701754386,24.556543333333334,24.47085895321637,24.575554333333336,24.503429181286553","47.3353376627907,47.37145161627907,47.37722274418604,47.33575060465117,47.3329823255814,47.32525188372093,47.328504511627905"
lts__t_sectors.avg.peak_sustained,"3.0,3.0,3.0,3.0,3.0,3.0,3.0","3.0,3.0,3.0,3.0,3.0,3.0,3.0"
lts__t_sectors.avg.per_cycle_elapsed,"0.7387773450292398,0.7357381228070176,0.7576429356725146,0.7366963216374269,0.7341257777777778,0.7372666374269006,0.735102888888889","1.4200600930232559,1.421143546511628,1.4213166860465116,1.4200725,1.4199895116279069,1.4197575465116279,1.4198551046511627"
lts__t_sectors.sum,"15177214.50877193,15177196.140350876,15181766.228070175,15213890.426900584,15182763.520467836,15178242.426900584,15180685.812865498","998774029.5348837,999674753.8488373,999788080.8372093,998829866.2093023,998873030.3255814,998960041.8953488,998760862.4069767"
lts__t_sectors.sum.per_second,"66.02796139766082,65.78045092397662,66.09430292397661,66.09631857309942,66.1128833508772,66.0244464502924,65.99880240935673","124.30532196511628,124.39273109302326,124.36741739534882,124.28882004651163,124.28414486046512,124.30691803488372,124.29056012790699"
lts__t_sectors_aperture_device_lookup_miss.sum,"238.76023391812865,228.53216374269005,243.7017543859649,401.3333333333333,257.3801169590643,236.4561403508772,199.03508771929825","633899371.9883721,634440441.5,633952723.8023256,633938822.2674419,634004824.2906977,633931265.5813954,633907082.6046512"
lts__t_sectors_aperture_sysmem_lookup_miss.sum,"1.1111111111111112,1.1403508771929824,3.1637426900584797,28.666666666666668,1.087719298245614,1.105263157894737,1.0994152046783625","2.3255813953488373,213.1860465116279,363.4186046511628,101.33720930232558,2.4069767441860463,2.5232558139534884,2.372093023255814"
lts__t_sectors_data_ecc.avg.pct_of_peak_sustained_elapsed,"3.3935672514619886e-05,2.9333333333333333e-05,3.7456140350877196e-05,2.8251461988304096e-05,2.588888888888889e-05,2.495906432748538e-05,2.4228070175438596e-05","7.441860465116279e-07,1.1627906976744186e-06,1.0104651162790697e-05,4.930232558139535e-06,7.441860465116279e-07,7.209302325581396e-07,8.13953488372093e-07"
lts__t_sectors_data_ecc.avg.peak_sustained,"8.0,8.0,8.0,8.0,8.0,8.0,8.0","8.0,8.0,8.0,8.0,8.0,8.0,8.0"
lts__t_sectors_data_ecc.avg.per_cycle_elapsed,"2.730994152046784e-06,2.3391812865497075e-06,2.9941520467836257e-06,2.257309941520468e-06,2.0409356725146196e-06,1.9941520467836256e-06,1.953216374269006e-06","0.0,3.4883720930232553e-08,7.906976744186047e-07,3.604651162790698e-07,0.0,0.0,0.0"
lts__t_sectors_data_ecc.sum,"19.94736842105263,20.43859649122807,24.339181286549707,43.72514619883041,19.555555555555557,18.5906432748538,18.719298245614034","46.372093023255815,66.02325581395348,771.1046511627907,434.3488372093023,50.825581395348834,47.848837209302324,54.06976744186046"
lts__t_sectors_data_ecc.sum.per_second,"0.24502307602339182,0.1996997192982456,0.2600461929824562,0.19736495321637426,0.18063463742690058,0.17414030409356726,0.16958254970760234","0.004171767441860465,0.0072751046511627905,0.07029601162790698,0.034035604651162794,0.004357127906976744,0.004204720930232558,0.004809558139534884"
lts__t_sectors_evict_first_lookup_hit.sum,"685.1988304093567,685.6023391812865,4295.19298245614,13763.187134502923,777.8771929824561,624.2865497076024,797.8011695906433","11372.662790697674,46426.06976744186,99979.6046511628,78744.19767441861,12176.558139534884,9681.82558139535,12975.837209302326"
lts__t_sectors_evict_first_lookup_miss.sum,"345.49122807017545,357.766081871345,243.64912280701753,584.514619883041,243.26900584795322,359.6374269005848,370.7602339181287","7920.558139534884,7788.290697674419,11626.89534883721,10492.941860465116,8485.941860465116,8500.372093023256,9518.197674418605"
lts__t_sectors_evict_normal_lookup_hit.sum,"15111090.192982456,15117869.847953217,15109738.064327486,15116699.959064327,15109146.795321638,15109930.666666666,15109538.111111112","360920328.9302326,360544089.81395346,361182107.0697674,360895547.0813953,361061149.1744186,361006660.7093023,360921410.6511628"
lts__t_sectors_evict_normal_lookup_miss.sum,"42.72514619883041,44.88304093567251,52.994152046783626,65.27485380116958,44.187134502923975,41.801169590643276,41.280701754385966","634000428.0,634449241.8837209,633918982.0581396,633972630.3372093,634015124.6860465,633985551.5116279,633925169.1860465"
lts__t_sectors_lookup_hit.sum,"15179241.461988304,15176860.976608187,15179701.578947369,15189779.005847953,15181841.760233918,15179970.567251462,15180135.169590643","364845971.59302324,364643766.7790698,365081433.3023256,364810932.10465115,365034327.39534885,365068262.45348835,364939972.26744187"
lts__t_sectors_lookup_miss.sum,"333.6374269005848,409.85380116959067,337.4561403508772,552.5555555555555,353.0175438596491,280.17543859649123,306.82456140350877","633950249.9069767,634500129.3837209,633862810.4186046,633914767.8720931,633990720.7674419,634005231.7674419,633882286.3372093"
lts__t_sectors_srcunit_ltcfabric.avg.pct_of_peak_sustained_elapsed,"25.669346450292398,25.5674375497076,26.379421479532166,25.571757842105267,25.50941176608187,25.64753896491228,25.563878567251464","20.237493011627908,20.220996755813953,20.218835279069765,20.24930156976744,20.242600174418605,20.24323522093023,20.249675988372093"
lts__t_sectors_srcunit_ltcfabric.avg.peak_sustained,"1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0"
lts__t_sectors_srcunit_ltcfabric.avg.per_cycle_elapsed,"0.2566934619883041,0.25567437426900586,0.26379420467836256,0.2557176023391813,0.2550941461988304,0.25647540935672514,0.25563874853801166","0.20237494186046512,0.20220991860465115,0.20218832558139535,0.20249298837209304,0.20242601162790697,0.20243233720930232,0.20249673255813955"
lts__t_sectors_srcunit_ltcfabric.sum,"5082076.67251462,5081089.175438597,5082989.251461988,5084339.9883040935,5084092.50877193,5082934.040935673,5084014.438596491","216814643.02325583,216891569.8139535,216750684.94186047,216849257.79069766,216844392.56976745,216860019.62790698,216875801.5348837"
lts__t_sectors_srcunit_ltcfabric.sum.pct_of_peak_sustained_elapsed,"25.669346450292398,25.5674375497076,26.379421479532166,25.571757842105267,25.50941176608187,25.64753896491228,25.563878567251464","20.237493011627908,20.220996755813953,20.218835279069765,20.24930156976744,20.242600174418605,20.24323522093023,20.249675988372093"
lts__t_sectors_srcunit_ltcfabric.sum.per_second,"22.99800478362573,22.913962976608186,23.01875421637427,23.014684719298245,23.05356690643275,23.034449438596493,23.018193134502923","17.72323437209302,17.70927773255814,17.70355941860465,17.72366923255814,17.726661604651163,17.728320395348838,17.731827639534885"
lts__t_sectors_srcunit_ltcfabric_aperture_device_lookup_miss.sum,"0.0,0.10526315789473684,0.04093567251461988,0.0,0.0,0.0,0.0","206858654.27906978,207273223.1860465,207061553.1627907,206877234.43023255,206868740.6511628,206816652.0,206845243.44186047"
lts__t_sectors_srcunit_ltcfabric_evict_normal_lookup_hit.sum,"5039016.32748538,5037236.2105263155,5040393.783625731,5040829.707602339,5042625.543859649,5037977.497076023,5038263.625730994","9209323.395348838,8901581.581395349,8965295.023255814,9231675.860465117,9234778.88372093,9190887.767441861,9236181.813953489"
lts__t_sectors_srcunit_ltcfabric_evict_normal_lookup_miss.sum,"0.0,0.0,0.04093567251461988,0.0,0.0,0.0,0.0","206840028.88372093,207196122.1744186,206979083.95348838,206833914.79069766,206844815.39534885,206850613.4883721,206808837.4883721"
lts__t_sectors_srcunit_ltcfabric_lookup_hit.sum,"5082413.058479533,5079813.502923977,5082301.076023391,5086049.111111111,5084856.549707603,5082900.842105263,5083169.573099415","9998330.604651162,9698430.197674418,9724216.38372093,10015333.255813954,10018632.058139535,10014055.232558139,9999612.918604651"
